source,date,title,description
Engadget,2019-03-06T14:15:56Z,Let Google and Tilda Swinton show you the Big Bang in AR - Engadget,Google has teamed up with CERN to create an augmented reality application that walks you through the Big Bang.
Daily Mail,2019-03-06T13:34:00Z,Watch the fascinating moment Japanese spacecraft Hayabusa 2 BOUNCES off Ryugu - Daily Mail,The incredible video from japan's space agency shows the 59 seconds before Hyabusa 2 bounced off the surface of Ryugu and is played at five times its actual speed.
Bbc.com,2019-03-06T13:08:45Z,Climate change: Long Antarctic satellite record is secured - BBC News,Scientists ensure the constant monitoring of the White Continent will continue unbroken into the 2030s.
Livescience.com,2019-03-06T13:07:00Z,Israeli Moon Lander Snaps Epic Space Selfie with a Full Earth - Live Science,"The newly released photo shows the robotic lander, known as Beresheet, looking back at Earth from a distance of 23,363.5 miles (37,600 kilometers)."
Iflscience.com,2019-03-06T12:55:00Z,A Good Night's Sleep Helps Your Brain Fix Damaged DNA - IFLScience,"It seems strange that animals, us included, spend so much time vulnerably curled up with their eyes shut, totally unaware of our surroundings. While we mig"
Teslarati.com,2019-03-06T11:55:26Z,SpaceX snags second Falcon 9 booster in two weeks after Crew Dragon launch - Teslarati,"SpaceX and the company’s drone ship Of Course I Still Love You (OCISLY) have successfully wrapped up their second Falcon 9 recovery in less than two weeks, bringing booster B1051 back to Port Canaveral to be broken over and refurbished for a second launch. Fo…"
Newser.com,2019-03-06T09:11:00Z,Moon Lander Snaps Amazing Selfie - Newser,Earth was the backdrop
Bgr.com,2019-03-06T04:07:00Z,"Colossal asteroid will approach Earth on Friday, but we’ll be fine - BGR","NASA is always keeping an eye on space rocks that get anywhere near Earth, and 2019 has been a relatively calm year in terms of close passes. A recently discovered asteroid is going to make a not-s…"
Spacenews.com,2019-03-06T00:04:00Z,NASA reassessing date for first SLS launch - SpaceNews,The director of NASA’s Marshall Space Flight Center said March 5 that the agency is “reassessing” the 2020 launch date for the first SLS launch.
Sciencedaily.com,2019-03-05T22:53:58Z,Global analysis of billions of Wikipedia searches reveals biodiversity secrets - Science Daily,Researchers have found that the way in which people use the internet is closely tied to patterns and rhythms in the natural world. This finding suggests new ways to monitor changes in the world's biodiversity.
