source,text,time,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative,username
,"The idea of making NFL Network a ""33rd team"" for the combine is interesting - Awful Announcing",2019-03-05T00:54:00Z,0.0,0.0,0.0,0.0,0.762356,0.0,0.0,Awfulannouncing.com
,Nick Starkel commits to Arkansas - 247Sports,2019-03-05T00:10:26Z,0.0,0.0,0.0,0.0,0.0,0.8002600000000001,0.0,247sports.com
,Lakers Free Agent Rumors: L.A. considering adding another center - Silver Screen and Roll ,2019-03-05T00:05:23Z,0.0,0.0,0.0,0.0,0.560098,0.0,0.0,Silverscreenandroll.com
,John Clayton breaks down Seahawksâ decision to franchise Frank Clark - MyNorthwest.com,2019-03-05T00:03:34Z,0.0,0.0,0.0,0.0,0.620279,0.0,0.0,Mynorthwest.com
,"New England Patriots roster moves: Tight end Dwayne Allen, wide receiver Darren Andrews officially released - WEEI",2019-03-04T22:59:19Z,0.0,0.0,0.0,0.0,0.506763,0.0,0.0,Radio.com
,Latest on Embiid and two players that have stepped up with him out - NBCSports.com,2019-03-04T22:57:48Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nbcsports.com
,"College basketball rankings: Top 25, Power 36 two weeks from Selection Sunday - NCAA March Madness",2019-03-04T22:56:46Z,0.0,0.0,0.583361,0.0,0.0,0.0,0.0,Youtube.com
,Snoop Dogg Lakers Rant: Snoop Is Not Impressed with This Season - LA Magazine,2019-03-04T22:45:29Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lamag.com
,Bracketology Bubble Watch: Texas and TCU have important games plus conference tournament games begin - CBS Sports,2019-03-04T22:35:00Z,0.0,0.0,0.6844899999999999,0.0,0.0,0.0,0.0,Cbssports.com
,"Reggie Miller Calls Out ""Soft and Sensitive"" NBA Following Trae Young Ejection - HotNewHipHop",2019-03-04T20:41:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hotnewhiphop.com
,Detroit Red Wings greats on what made Ted Lindsay memorable across decades - Detroit Free Press,2019-03-04T20:20:00Z,0.0,0.0,0.726741,0.0,0.532616,0.0,0.0,Freep.com
,Lakers Interview: Luke Walton on If the Lakers Are Better After The Zubac Trade w/ the Clippers - Lakers Nation,2019-03-04T20:09:06Z,0.0,0.0,0.546258,0.0,0.0,0.0,0.0,Youtube.com
